Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Germany,Phil  Hill ,Ferrari,8:57.800,HIL,DEU,49.3276,8.5625
Italy,Giancarlo  Baghetti ,Ferrari,2:48.400,BAG,ITA,44.3406,11.7161
United States,Jack  Brabham ,Cooper Climax,1:18.200,BRA,USA,30.1328,-97.6411
Netherlands,Bruce  McLaren ,Cooper Climax,1:34.400,MCL,NED,52.3888,4.5409
Monaco,Jim  Clark ,Lotus Climax,1:35.500,CLA,MON,43.7347,7.4206
Belgium,Jim  Clark ,Lotus Climax,3:55.600,CLA,BEL,50.4372,5.9714
France,Graham  Hill ,BRM,2:16.900,HIL,FRA,43.2509,5.7901
Great Britain,Jim  Clark ,Lotus Climax,1:55.000,CLA,GBR,52.0786,-1.0169
Germany,Graham  Hill ,BRM,10:12.200,HIL,DEU,49.3276,8.5625
Italy,Graham  Hill ,BRM,1:42.300,HIL,ITA,44.3406,11.7161
United States,Jim  Clark ,Lotus Climax,1:15.000,CLA,USA,30.1328,-97.6411
South Africa,Jim  Clark ,Lotus Climax,1:31.000,CLA,ZAF,-26.2474,27.8477
Monaco,John  Surtees ,Ferrari,1:34.500,SUR,MON,43.7347,7.4206
Belgium,Jim  Clark ,Lotus Climax,3:58.100,CLA,BEL,50.4372,5.9714
Netherlands,Jim  Clark ,Lotus Climax,1:33.700,CLA,NED,52.3888,4.5409
France,Jim  Clark ,Lotus Climax,2:21.600,CLA,FRA,43.2509,5.7901
Great Britain,John  Surtees ,Ferrari,1:36.000,SUR,GBR,52.0786,-1.0169
Germany,John  Surtees ,Ferrari,8:47.000,SUR,DEU,49.3276,8.5625
Italy,Jim  Clark ,Lotus Climax,1:38.900,CLA,ITA,44.3406,11.7161
United States,Jim  Clark ,Lotus Climax,1:14.500,CLA,USA,30.1328,-97.6411
Mexico,Jim  Clark ,Lotus Climax,1:58.100,CLA,MEX,19.4042,-99.0907
South Africa,Dan  Gurney ,Brabham Climax,1:29.100,GUR,ZAF,-26.2474,27.8477
Monaco,Graham  Hill ,BRM,1:33.900,HIL,MON,43.7347,7.4206
Netherlands,Jim  Clark ,Lotus Climax,1:32.800,CLA,NED,52.3888,4.5409
Belgium,Dan  Gurney ,Brabham Ford,3:49.200,GUR,BEL,50.4372,5.9714
France,Jack  Brabham ,Brabham Ford,2:11.400,BRA,FRA,43.2509,5.7901
Great Britain,Jim  Clark ,Lotus Climax,1:38.800,CLA,GBR,52.0786,-1.0169
Germany,John  Surtees ,Ferrari,8:39.000,SUR,DEU,49.3276,8.5625
Austria,Dan  Gurney ,Brabham Ford,1:10.560,GUR,AUT,47.2197,14.7646
Italy,John  Surtees ,Ferrari,1:38.800,SUR,ITA,44.3406,11.7161
United States,Jim  Clark ,Lotus Climax,1:12.700,CLA,USA,30.1328,-97.6411
Mexico,Jim  Clark ,Lotus Climax,1:58.370,CLA,MEX,19.4042,-99.0907
South Africa,Jim  Clark ,Lotus Climax,1:27.600,CLA,ZAF,-26.2474,27.8477
Monaco,Graham  Hill ,BRM,1:31.700,HIL,MON,43.7347,7.4206
Belgium,Jim  Clark ,Lotus Climax,4:12.900,CLA,BEL,50.4372,5.9714
France,Jim  Clark ,Lotus Climax,3:18.900,CLA,FRA,43.2509,5.7901
Great Britain,Graham  Hill ,BRM,1:32.200,HIL,GBR,52.0786,-1.0169
